,left_gaze_point,right_gaze_point,time_stamp
0,"(nan, nan, nan)","(nan, nan, nan)",1167631290986053
1,"(-206.67355346679688, 313.3741455078125, 9.100000381469727)","(-230.5491943359375, 326.8143005371094, 9.100000381469727)",1167631291397908
2,"(-185.8416290283203, 309.9167785644531, 9.100000381469727)","(nan, nan, nan)",1167631291426165
3,"(nan, nan, nan)","(nan, nan, nan)",1167631291456532
4,"(-181.4688720703125, 308.83721923828125, 9.100000381469727)","(-206.91749572753906, 327.2645263671875, 9.100000381469727)",1167631291507456
5,"(-181.12710571289062, 307.40484619140625, 9.100000381469727)","(-206.53749084472656, 324.6817932128906, 9.100000381469727)",1167631291529199
6,"(-181.4370880126953, 311.7720031738281, 9.100000381469727)","(-205.9402313232422, 325.66339111328125, 9.100000381469727)",1167631291563297
7,"(-183.47596740722656, 308.4319763183594, 9.100000381469727)","(-206.53500366210938, 327.5724792480469, 9.100000381469727)",1167631291593815
8,"(-186.73846435546875, 308.8919982910156, 9.100000381469727)","(-213.20370483398438, 324.46343994140625, 9.100000381469727)",1167631291624614
9,"(-183.81634521484375, 308.06402587890625, 9.100000381469727)","(-210.39596557617188, 322.1743469238281, 9.100000381469727)",1167631291656292
10,"(-183.54611206054688, 311.7220764160156, 9.100000381469727)","(-208.1028289794922, 324.98004150390625, 9.100000381469727)",1167631291687301
11,"(-185.5699920654297, 307.89459228515625, 9.100000381469727)","(-208.60366821289062, 324.9123840332031, 9.100000381469727)",1167631291718868
12,"(-185.0757293701172, 310.0729675292969, 9.100000381469727)","(-208.8888702392578, 325.4852600097656, 9.100000381469727)",1167631291749123
13,"(nan, nan, nan)","(nan, nan, nan)",1167631291780126
14,"(nan, nan, nan)","(nan, nan, nan)",1167631291813126
15,"(nan, nan, nan)","(nan, nan, nan)",1167631291838161
16,"(nan, nan, nan)","(nan, nan, nan)",1167631291863531
17,"(nan, nan, nan)","(nan, nan, nan)",1167631291894118
18,"(nan, nan, nan)","(nan, nan, nan)",1167631291922489
19,"(nan, nan, nan)","(nan, nan, nan)",1167631291978486
20,"(nan, nan, nan)","(nan, nan, nan)",1167631292019649
21,"(-167.72434997558594, 313.1793518066406, 9.100000381469727)","(-187.32286071777344, 319.01983642578125, 9.100000381469727)",1167631292055087
22,"(-166.1110076904297, 309.4463806152344, 9.100000381469727)","(nan, nan, nan)",1167631292091151
23,"(-166.93106079101562, 308.97564697265625, 9.100000381469727)","(nan, nan, nan)",1167631292126386
24,"(-147.93707275390625, 309.680908203125, 9.100000381469727)","(-163.72132873535156, 317.9295654296875, 9.100000381469727)",1167631292152343
25,"(-144.8876953125, 310.36614990234375, 9.100000381469727)","(-161.31405639648438, 319.88543701171875, 9.100000381469727)",1167631292179222
26,"(-141.4606170654297, 310.4303283691406, 9.100000381469727)","(-164.97093200683594, 316.8160705566406, 9.100000381469727)",1167631292206453
27,"(-142.02886962890625, 304.64166259765625, 9.100000381469727)","(-166.0662078857422, 319.5387268066406, 9.100000381469727)",1167631292237384
28,"(-142.10284423828125, 307.0428466796875, 9.100000381469727)","(-163.90731811523438, 318.4527587890625, 9.100000381469727)",1167631292268624
29,"(-144.19070434570312, 306.3381042480469, 9.100000381469727)","(-164.8024444580078, 315.90521240234375, 9.100000381469727)",1167631292300255
30,"(-146.50767517089844, 305.4303894042969, 9.100000381469727)","(-166.05372619628906, 316.8060607910156, 9.100000381469727)",1167631292331844
31,"(-145.55052185058594, 307.1603088378906, 9.100000381469727)","(-163.31065368652344, 318.7408752441406, 9.100000381469727)",1167631292365916
32,"(-146.5184326171875, 307.92364501953125, 9.100000381469727)","(-162.38487243652344, 316.8656005859375, 9.100000381469727)",1167631292396633
33,"(-146.37826538085938, 307.0910339355469, 9.100000381469727)","(-163.6766815185547, 319.2451171875, 9.100000381469727)",1167631292427190
34,"(-143.49168395996094, 309.5016174316406, 9.100000381469727)","(-166.0895233154297, 314.8607177734375, 9.100000381469727)",1167631292458627
35,"(-143.928466796875, 309.0435485839844, 9.100000381469727)","(-165.35040283203125, 317.7048034667969, 9.100000381469727)",1167631292488896
36,"(-144.2455596923828, 309.1541442871094, 9.100000381469727)","(-166.37811279296875, 320.9638366699219, 9.100000381469727)",1167631292519896
37,"(-121.9617919921875, 308.9826354980469, 9.100000381469727)","(-141.16844177246094, 322.0298767089844, 9.100000381469727)",1167631292549996
38,"(-122.15369415283203, 306.8941345214844, 9.100000381469727)","(-144.46942138671875, 318.8205871582031, 9.100000381469727)",1167631292581701
39,"(-120.50347137451172, 306.8846740722656, 9.100000381469727)","(-144.12620544433594, 317.4754638671875, 9.100000381469727)",1167631292612702
40,"(-121.93318176269531, 306.3273010253906, 9.100000381469727)","(-145.2412109375, 315.5767517089844, 9.100000381469727)",1167631292644432
41,"(-121.67374420166016, 306.1626281738281, 9.100000381469727)","(-143.98106384277344, 317.0889892578125, 9.100000381469727)",1167631292676755
42,"(-121.44589233398438, 305.0993347167969, 9.100000381469727)","(-143.30685424804688, 320.20855712890625, 9.100000381469727)",1167631292709807
43,"(-121.50520324707031, 307.1396789550781, 9.100000381469727)","(nan, nan, nan)",1167631292741818
44,"(-122.25944519042969, 308.1782531738281, 9.100000381469727)","(-146.85166931152344, 319.9073181152344, 9.100000381469727)",1167631292773718
45,"(-122.90693664550781, 306.5653991699219, 9.100000381469727)","(nan, nan, nan)",1167631292803713
46,"(-122.95342254638672, 308.44915771484375, 9.100000381469727)","(-140.9420623779297, 316.4338684082031, 9.100000381469727)",1167631292833404
47,"(-121.65870666503906, 307.5989990234375, 9.100000381469727)","(-142.52369689941406, 321.2668151855469, 9.100000381469727)",1167631292862810
48,"(-125.19892883300781, 309.1859130859375, 9.100000381469727)","(-146.17530822753906, 318.6228332519531, 9.100000381469727)",1167631292894859
49,"(-127.34562683105469, 309.0031433105469, 9.100000381469727)","(-151.666015625, 318.7615966796875, 9.100000381469727)",1167631292928248
50,"(-130.08328247070312, 307.6019287109375, 9.100000381469727)","(nan, nan, nan)",1167631292963293
51,"(-128.55020141601562, 312.47039794921875, 9.100000381469727)","(-150.19320678710938, 318.4810791015625, 9.100000381469727)",1167631292993405
52,"(-126.55091857910156, 308.3384094238281, 9.100000381469727)","(-151.07180786132812, 319.50274658203125, 9.100000381469727)",1167631293023524
53,"(-127.92139434814453, 309.1816711425781, 9.100000381469727)","(-149.36500549316406, 319.9787902832031, 9.100000381469727)",1167631293054644
54,"(-130.07386779785156, 308.5384521484375, 9.100000381469727)","(-151.98052978515625, 319.2488708496094, 9.100000381469727)",1167631293086924
55,"(-128.1917724609375, 308.200927734375, 9.100000381469727)","(-151.3405303955078, 321.55084228515625, 9.100000381469727)",1167631293117783
56,"(-126.83853912353516, 305.6365966796875, 9.100000381469727)","(-150.98121643066406, 321.8920593261719, 9.100000381469727)",1167631293147701
57,"(-113.57742309570312, 308.91424560546875, 9.100000381469727)","(-131.80580139160156, 319.4309997558594, 9.100000381469727)",1167631293178209
58,"(-113.0054702758789, 308.17510986328125, 9.100000381469727)","(-137.1107635498047, 318.6453857421875, 9.100000381469727)",1167631293211098
59,"(-111.01355743408203, 306.9920349121094, 9.100000381469727)","(-134.51443481445312, 315.9977722167969, 9.100000381469727)",1167631293246400
60,"(-110.56893920898438, 302.5583190917969, 9.100000381469727)","(-137.15892028808594, 318.65850830078125, 9.100000381469727)",1167631293282279
61,"(nan, nan, nan)","(nan, nan, nan)",1167631293312449
62,"(nan, nan, nan)","(nan, nan, nan)",1167631293344161
63,"(-26.471153259277344, 55.75363540649414, 9.100000381469727)","(nan, nan, nan)",1167631293369258
64,"(nan, nan, nan)","(nan, nan, nan)",1167631293394415
65,"(nan, nan, nan)","(nan, nan, nan)",1167631293424082
66,"(nan, nan, nan)","(-90.88823699951172, 230.1328582763672, 9.100000381469727)",1167631293451346
67,"(-94.60640716552734, 301.530029296875, 9.100000381469727)","(nan, nan, nan)",1167631293495383
68,"(-92.0520248413086, 304.8533630371094, 9.100000381469727)","(-113.9055404663086, 320.21722412109375, 9.100000381469727)",1167631293540298
69,"(-90.93314361572266, 305.69384765625, 9.100000381469727)","(nan, nan, nan)",1167631293572219
70,"(-93.03425598144531, 306.4960021972656, 9.100000381469727)","(nan, nan, nan)",1167631293604433
71,"(nan, nan, nan)","(nan, nan, nan)",1167631293634842
72,"(nan, nan, nan)","(nan, nan, nan)",1167631293663410
73,"(-92.6005859375, 307.7279968261719, 9.100000381469727)","(-111.97602081298828, 321.68902587890625, 9.100000381469727)",1167631293689521
74,"(-90.88147735595703, 305.9405822753906, 9.100000381469727)","(nan, nan, nan)",1167631293717798
75,"(nan, nan, nan)","(nan, nan, nan)",1167631293744180
76,"(-78.30487823486328, 309.0672302246094, 9.100000381469727)","(-99.89691162109375, 318.755859375, 9.100000381469727)",1167631293776997
77,"(nan, nan, nan)","(-101.72745513916016, 315.6564636230469, 9.100000381469727)",1167631293814452
78,"(-77.88787078857422, 311.19805908203125, 9.100000381469727)","(-102.36050415039062, 316.2062683105469, 9.100000381469727)",1167631293848286
79,"(-80.69319915771484, 307.5274963378906, 9.100000381469727)","(-103.39896392822266, 315.71942138671875, 9.100000381469727)",1167631293879911
80,"(nan, nan, nan)","(-102.31867218017578, 318.0986022949219, 9.100000381469727)",1167631293909991
81,"(-77.79029846191406, 310.340087890625, 9.100000381469727)","(-103.03516387939453, 316.24725341796875, 9.100000381469727)",1167631293941117
82,"(nan, nan, nan)","(-85.35875701904297, 321.0706787109375, 9.100000381469727)",1167631293970148
83,"(-69.88182067871094, 305.0068664550781, 9.100000381469727)","(-86.04483795166016, 316.35528564453125, 9.100000381469727)",1167631294001536
84,"(-69.32316589355469, 304.65289306640625, 9.100000381469727)","(-90.21817779541016, 313.7264099121094, 9.100000381469727)",1167631294030811
85,"(-67.71986389160156, 306.9085998535156, 9.100000381469727)","(-90.14862823486328, 319.0739440917969, 9.100000381469727)",1167631294061836
86,"(-129.51625061035156, 309.1606140136719, 9.100000381469727)","(-148.6324920654297, 322.9413757324219, 9.100000381469727)",1167631294092111
87,"(-213.26718139648438, 302.324951171875, 9.100000381469727)","(-242.91067504882812, 328.0284729003906, 9.100000381469727)",1167631294122765
88,"(-215.06036376953125, 299.62249755859375, 9.100000381469727)","(-246.21217346191406, 326.1020202636719, 9.100000381469727)",1167631294155466
89,"(-217.2591094970703, 307.3017883300781, 9.100000381469727)","(-246.18316650390625, 325.38665771484375, 9.100000381469727)",1167631294186707
90,"(-211.3217010498047, 300.7098388671875, 9.100000381469727)","(-247.20042419433594, 325.7570495605469, 9.100000381469727)",1167631294217155
91,"(-212.79039001464844, 302.30078125, 9.100000381469727)","(-244.42587280273438, 327.38787841796875, 9.100000381469727)",1167631294248622
92,"(-225.6817626953125, 297.04632568359375, 9.100000381469727)","(-258.8182067871094, 320.40032958984375, 9.100000381469727)",1167631294279587
