,device_time_stamp,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,left_gaze_point_in_user_coordinate_system,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,right_gaze_point_in_user_coordinate_system,right_gaze_point_on_display_area,right_gaze_point_validity
0,1167647080106900,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
1,1167647080149743,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
2,1167647080186547,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
3,1167647080229109,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
4,1167647080271724,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
5,1167647080314233,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan, nan)","(nan, nan)",0
6,1167647080355990,"(0.5949026942253113, 0.6088610291481018, 0.5660563111305237)","(-41.90851974487305, -30.461624145507812, 619.81689453125)",1,"(-108.56148529052734, 448.7586364746094, 9.100000381469727)","(0.3292531967163086, -0.22971157729625702)",1,"(0.46293768286705017, 0.6362579464912415, 0.5722931027412415)","(13.203710556030273, -38.44102478027344, 621.6879272460938)",1,"(-133.3342742919922, 465.5350341796875, 9.100000381469727)","(0.2898445129394531, -0.2771569788455963)",1
7,1167647080396643,"(0.5950171947479248, 0.6088610291481018, 0.5664231181144714)","(-41.961814880371094, -30.467422485351562, 619.9269409179688)",1,"(-109.40547943115234, 437.323486328125, 9.100000381469727)","(0.32791057229042053, -0.19737184047698975)",1,"(0.4629262387752533, 0.6362264752388, 0.5722749829292297)","(13.208418846130371, -38.4309196472168, 621.6824951171875)",1,"(-106.59576416015625, 462.6076354980469, 9.100000381469727)","(0.3323802947998047, -0.26887795329093933)",1
8,1167647080605344,"(0.5957143902778625, 0.6088192462921143, 0.5661594867706299)","(-42.24872589111328, -30.453411102294922, 619.8478393554688)",1,"(-106.57301330566406, 431.61907958984375, 9.100000381469727)","(0.33241647481918335, -0.18123918771743774)",1,"(0.46351495385169983, 0.6361643671989441, 0.5714955925941467)","(12.959023475646973, -38.399818420410156, 621.4486694335938)",1,"(-106.56857299804688, 450.4513244628906, 9.100000381469727)","(0.33242353796958923, -0.23449864983558655)",1
9,1167647080658388,"(0.5957234501838684, 0.6089178323745728, 0.566092312335968)","(-42.25132369995117, -30.48261833190918, 619.8276977539062)",1,"(-102.94585418701172, 444.5824890136719, 9.100000381469727)","(0.3381865918636322, -0.21790099143981934)",1,"(0.4635116457939148, 0.6361836791038513, 0.5716329216957092)","(12.961020469665527, -38.40821075439453, 621.4898681640625)",1,"(-110.02244567871094, 452.7315673828125, 9.100000381469727)","(0.32692909240722656, -0.240947425365448)",1
10,1167647080910658,"(0.5926172137260437, 0.6085115671157837, 0.5662679076194763)","(-40.95882034301758, -30.349313735961914, 619.88037109375)",1,"(102.10753631591797, 494.7091064453125, 9.100000381469727)","(0.6643868088722229, -0.3596642315387726)",1,"(0.4608340263366699, 0.6363490223884583, 0.5738216042518616)","(14.090025901794434, -38.48910903930664, 622.146484375)",1,"(93.62081909179688, 475.5846252441406, 9.100000381469727)","(0.6508861184120178, -0.30557823181152344)",1
11,1167647080953441,"(0.5926963090896606, 0.6086488962173462, 0.5663865208625793)","(-40.99332046508789, -30.393310546875, 619.9159545898438)",1,"(113.1436996459961, 501.83697509765625, 9.100000381469727)","(0.6819432377815247, -0.3798225522041321)",1,"(0.46074122190475464, 0.6365678906440735, 0.5733990669250488)","(14.12722396850586, -38.54801559448242, 622.0197143554688)",1,"(96.00515747070312, 474.7037353515625, 9.100000381469727)","(0.6546791195869446, -0.3030869960784912)",1
12,1167647081005632,"(0.5925372838973999, 0.6086613535881042, 0.5657669901847839)","(-40.91791534423828, -30.387426376342773, 619.7301025390625)",1,"(86.15977478027344, 490.19488525390625, 9.100000381469727)","(0.6390170454978943, -0.34689754247665405)",1,"(0.4605244994163513, 0.6366264820098877, 0.5729689598083496)","(14.21591567993164, -38.55712127685547, 621.8906860351562)",1,"(72.79947662353516, 487.1908874511719, 9.100000381469727)","(0.6177634000778198, -0.3384019434452057)",1
13,1167647081044897,"(0.5917710065841675, 0.6086851954460144, 0.5655816793441772)","(-40.59551239013672, -30.389123916625977, 619.6744995117188)",1,"(139.25440979003906, 486.91387939453125, 9.100000381469727)","(0.7234803438186646, -0.33761849999427795)",1,"(0.45999202132225037, 0.6367594599723816, 0.5734962821006775)","(14.441110610961914, -38.605621337890625, 622.0488891601562)",1,"(126.94236755371094, 472.2372741699219, 9.100000381469727)","(0.7038942575454712, -0.2961115539073944)",1
14,1167647081084922,"(0.5918876528739929, 0.6086528301239014, 0.5653916597366333)","(-40.641510009765625, -30.376920700073242, 619.6174926757812)",1,"(139.8582305908203, 475.6454162597656, 9.100000381469727)","(0.72444087266922, -0.30575019121170044)",1,"(0.45999082922935486, 0.6367130279541016, 0.5732401609420776)","(14.440413475036621, -38.58662033081055, 621.9720458984375)",1,"(127.35415649414062, 475.7279968261719, 9.100000381469727)","(0.7045493125915527, -0.30598369240760803)",1
15,1167647081124275,"(0.5919584035873413, 0.6086943745613098, 0.5656988620758057)","(-40.6754150390625, -30.394325256347656, 619.7096557617188)",1,"(143.17581176757812, 474.118896484375, 9.100000381469727)","(0.7297185063362122, -0.3014329671859741)",1,"(0.4599666893482208, 0.636756181716919, 0.5731862187385559)","(14.450310707092285, -38.59872817993164, 621.9558715820312)",1,"(131.8629913330078, 483.9176025390625, 9.100000381469727)","(0.7117220163345337, -0.32914474606513977)",1
16,1167647081165715,"(0.5918800830841064, 0.6087110638618469, 0.5652943849563599)","(-40.636817932128906, -30.39322280883789, 619.5883178710938)",1,"(141.72328186035156, 476.6422424316406, 9.100000381469727)","(0.7274078130722046, -0.3085692524909973)",1,"(0.4598805010318756, 0.6368067860603333, 0.5728887915611267)","(14.485017776489258, -38.60842514038086, 621.8666381835938)",1,"(129.5374298095703, 473.7348937988281, 9.100000381469727)","(0.7080224752426147, -0.3003469705581665)",1
17,1167647081206820,"(0.5917772650718689, 0.6087443828582764, 0.5652915239334106)","(-40.59381866455078, -30.402923583984375, 619.5874633789062)",1,"(145.90725708007812, 474.2568664550781, 9.100000381469727)","(0.7340636849403381, -0.3018231987953186)",1,"(0.4597724676132202, 0.6368768215179443, 0.5731052756309509)","(14.531312942504883, -38.633522033691406, 621.9315795898438)",1,"(131.17770385742188, 473.442138671875, 9.100000381469727)","(0.7106318473815918, -0.2995190918445587)",1
18,1167647081246862,"(0.5916635394096375, 0.6087897419929504, 0.5653882026672363)","(-40.5477180480957, -30.417829513549805, 619.616455078125)",1,"(143.1048126220703, 475.9031677246094, 9.100000381469727)","(0.7296055555343628, -0.3064791262149811)",1,"(0.4596133232116699, 0.636962890625, 0.5734385251998901)","(14.599516868591309, -38.66542434692383, 622.0315551757812)",1,"(129.28309631347656, 467.949462890625, 9.100000381469727)","(0.7076178789138794, -0.2839851677417755)",1
19,1167647081288648,"(0.5915312767028809, 0.6088683009147644, 0.5654111504554749)","(-40.49281311035156, -30.441619873046875, 619.6233520507812)",1,"(143.57839965820312, 480.2330627441406, 9.100000381469727)","(0.7303589582443237, -0.31872445344924927)",1,"(0.4594850242137909, 0.6371422410011292, 0.5728904008865356)","(14.650816917419434, -38.7097282409668, 621.8671264648438)",1,"(130.07606506347656, 475.225341796875, 9.100000381469727)","(0.7088793516159058, -0.30456215143203735)",1
